시군,읍면동,통리,반,관할구역
화성시,봉담읍,상1리,1반,상리 산17~100
화성시,봉담읍,상1리,2반,상리 101~185
화성시,봉담읍,상1리,3반,상리 185~207
화성시,봉담읍,상2리,1반,상리 357~394
화성시,봉담읍,상2리,2반,상리 240~248
화성시,봉담읍,상2리,3반,상리 산20~산50
화성시,봉담읍,상3리,1반,"상리 산13, 15-25, 459"
화성시,봉담읍,상3리,2반,상리 27부터 39까지
화성시,봉담읍,상3리,3반,"상리 40~43, 산22~산25"
화성시,봉담읍,상3리,4반,"상리 191~207, 산42"
화성시,봉담읍,상4리,1반,상리 21-2 한신A 101동(1호~4호)
화성시,봉담읍,상4리,2반,상리 21-2 한신A 101동(5호~8호)
화성시,봉담읍,상4리,3반,상리 21-2 한신A 102동(1호~6호)
화성시,봉담읍,상4리,4반,상리 21-2 한신A 102동(7호~12호)
화성시,봉담읍,상4리,5반,상리 21-2 한신A 103동(1호~4호)
화성시,봉담읍,상4리,6반,상리 21-2 한신A 103동(5호~8호)
화성시,봉담읍,상4리,7반,상리 21-2 한신A 104동(1호~2호)
화성시,봉담읍,상4리,8반,상리 21-2 한신A 105동(1호~4호)
화성시,봉담읍,상4리,9반,상리 21-2 한신A 105동(5호~8호)
화성시,봉담읍,상5리,1반,상리 25-7 봉담 신안인스빌아파트 101동 1~3호열
화성시,봉담읍,상5리,2반,상리 25-7 봉담 신안인스빌아파트 101동 4~6호열
화성시,봉담읍,상5리,3반,상리 25-7 봉담 신안인스빌아파트 102동 1~3호열
화성시,봉담읍,상5리,4반,상리 25-7 봉담 신안인스빌아파트 102동 4~6호열
화성시,봉담읍,상5리,5반,상리 25-7 봉담 신안인스빌아파트 103동
화성시,봉담읍,상5리,6반,상리 25-7 봉담 신안인스빌아파트 104동
화성시,봉담읍,상5리,7반,상리 25-7 봉담 신안인스빌아파트 105동 1~3호열
화성시,봉담읍,상5리,8반,상리 25-7 봉담 신안인스빌아파트 105동 4~6호열
화성시,봉담읍,상5리,9반,상리 25-7 봉담 신안인스빌아파트 106동 1~3호열
화성시,봉담읍,상5리,10반,상리 25-7 봉담 신안인스빌아파트 106동 4~6호열
화성시,읍면동,통리,반,관 할 구 역
화성시,봉담읍,상6리,1반,"상리 618 삼봉마을 주공아파트 101동, 상가동"
화성시,봉담읍,상6리,2반,상리 618 삼봉마을 주공아파트 102동(101호~908호)
화성시,봉담읍,상6리,3반,상리 618 삼봉마을 주공아파트 102동(1001호~1808호)
화성시,봉담읍,상6리,4반,상리 618 삼봉마을 주공아파트 103동
화성시,봉담읍,상6리,5반,상리 618 삼봉마을 주공아파트 104동(101호~908호)
화성시,봉담읍,상6리,6반,상리 618 삼봉마을 주공아파트 104동(1001호~1807호)
화성시,봉담읍,상6리,7반,상리 618 삼봉마을 주공아파트 105동
화성시,봉담읍,상6리,8반,상리 618 삼봉마을 주공아파트 106동(101호~906호)
화성시,봉담읍,상6리,9반,상리 618 삼봉마을 주공아파트 106동(1001호~1806호)
화성시,봉담읍,상6리,10반,상리 618 삼봉마을 주공아파트 107동
화성시,봉담읍,상7리,1반,"상리 622-1번지 동문굿모닝힐 아파트 101동, 상가동"
화성시,봉담읍,상7리,2반,상리 622-1번지 동문굿모닝힐 아파트 102동
화성시,봉담읍,상7리,3반,상리 622-1번지 동문굿모닝힐 아파트 103동
화성시,봉담읍,상7리,4반,상리 622-1번지 동문굿모닝힐 아파트 104동
화성시,봉담읍,상7리,5반,상리 622-1번지 동문굿모닝힐 아파트 105동
